id,user,uid,version,changeset,timestamp
37452547,hanchao,499500,2,41705187,2016-08-26T02:28:30Z
37452548,istap,120612,1,1781105,2009-07-09T14:42:19Z
37452549,istap,120612,1,1781105,2009-07-09T14:42:21Z
37452550,istap,120612,1,1781105,2009-07-09T14:42:22Z
37452551,istap,120612,1,1781105,2009-07-09T14:42:22Z
37452552,istap,120612,1,1781105,2009-07-09T14:42:23Z
37452553,istap,120612,1,1781105,2009-07-09T14:42:23Z
37452554,istap,120612,1,1781105,2009-07-09T14:42:23Z
37452555,sanchi,170106,2,3592981,2010-01-11T00:45:05Z
37452556,istap,120612,1,1781105,2009-07-09T14:42:25Z
37452562,istap,120612,1,1781105,2009-07-09T14:42:29Z
37452569,istap,120612,1,1781105,2009-07-09T14:42:31Z
37452570,istap,120612,1,1781105,2009-07-09T14:42:32Z
37453453,Austin Zhu,4816761,16,53355968,2017-10-30T02:00:22Z
37453455,Austin Zhu,4816761,8,53355968,2017-10-30T02:00:22Z
37453456,jamesks,2500,4,44333750,2016-12-11T22:35:02Z
37453457,jamesks,2500,3,44333750,2016-12-11T22:35:01Z
37453458,jamesks,2500,3,44333750,2016-12-11T22:35:02Z
37453459,katpatuka,17497,3,10368051,2012-01-12T10:14:36Z
37453460,jamesks,2500,3,44333750,2016-12-11T22:35:02Z
37453462,jamesks,2500,4,44333750,2016-12-11T22:35:02Z
37453464,jamesks,2500,4,44333750,2016-12-11T22:35:02Z
37453466,jamesks,2500,3,44333750,2016-12-11T22:35:02Z
37482313,Charly Q,4467193,6,50190671,2017-07-11T02:39:50Z
37482315,greecemapper,23785,3,27161299,2014-12-01T18:17:20Z
37482316,Charly Q,4467193,5,50190671,2017-07-11T02:39:50Z
37482318,greecemapper,23785,3,27161299,2014-12-01T18:17:20Z
37482360,AntiEntropy,3497015,24,49099749,2017-05-30T10:29:04Z
37482361,somethingsimple,3692997,6,39721624,2016-06-01T22:20:07Z
37482363,illya2400,3618977,3,37299059,2016-02-18T22:52:52Z
37482364,somethingsimple,3692997,4,39721624,2016-06-01T22:20:04Z
37482366,somethingsimple,3692997,6,39721624,2016-06-01T22:20:03Z
37482369,somethingsimple,3692997,3,39721624,2016-06-01T22:20:05Z
37482371,somethingsimple,3692997,4,39721624,2016-06-01T22:20:04Z
37484150,Charly Q,4467193,4,50190671,2017-07-11T02:39:50Z
37484152,Charly Q,4467193,3,50190671,2017-07-11T02:39:49Z
37484154,Charly Q,4467193,3,50190671,2017-07-11T02:39:49Z
37484155,karitotp,2748195,2,38212022,2016-03-31T21:00:03Z
37484156,Charly Q,4467193,4,50190671,2017-07-11T02:39:50Z
37484157,karitotp,2748195,2,38212022,2016-03-31T21:00:03Z
37484158,Charly Q,4467193,3,50190671,2017-07-11T02:39:49Z
37484159,dannykath,2226712,2,37844650,2016-03-15T14:40:56Z
37484161,Charly Q,4467193,3,50190671,2017-07-11T02:39:49Z
37484162,dannykath,2226712,2,37844650,2016-03-15T14:40:56Z
37484163,istap,120612,1,1783401,2009-07-09T19:52:45Z
37484164,Charly Q,4467193,4,50190671,2017-07-11T02:39:49Z
37484165,istap,120612,1,1783401,2009-07-09T19:52:46Z
37484166,istap,120612,1,1783401,2009-07-09T19:52:46Z
